Date,Average_Price
2012-10-01,310281.0781
2012-11-01,308539.5826
2012-12-01,313744.2327
2013-01-01,311364.3411
2013-02-01,313549.9034
2013-03-01,312289.3093
2013-04-01,320921.2527
2013-05-01,322324.279
2013-06-01,324518.3441
2013-07-01,332988.3209
2013-08-01,335742.5298
2013-09-01,340494.0177
2013-10-01,340044.8339
2013-11-01,343749.3242
2013-12-01,352028.12700000004
2014-01-01,355829.6511
2014-02-01,357875.8362
2014-03-01,361400.0389
2014-04-01,375336.8031
2014-05-01,382704.6087
2014-06-01,387182.1043
2014-07-01,398737.3718
2014-08-01,404754.4481
2014-09-01,403669.6168
2014-10-01,402300.0222
2014-11-01,400803.1627
2014-12-01,402898.3623
2015-01-01,402847.4493
2015-02-01,404773.4202
2015-03-01,404705.9013
2015-04-01,410445.0694
2015-05-01,415816.9196
2015-06-01,419474.3104
2015-07-01,431643.612
2015-08-01,436151.6431
2015-09-01,439729.3128
2015-10-01,440484.3845
2015-11-01,445484.7572
2015-12-01,450053.1608
2016-01-01,457465.5885
